repo,stars,created_at,pushed_at,age_years,days_since_last_update,merged_prs,releases,primary_language,issues_open,issues_closed,issues_total,issues_closed_ratio
ziadoz/awesome-php,32406,2013-11-26T03:14:19Z,2026-02-25T11:46:30Z,12.27,9,457,0,None,2,153,155,0.9871
koala73/worldmonitor,32402,2026-01-08T17:26:06Z,2026-03-06T19:57:12Z,0.16,0,712,43,TypeScript,67,147,214,0.6869
cursor/cursor,32386,2023-03-12T00:19:42Z,2026-01-31T04:04:26Z,2.98,34,47,0,None,0,0,0,0.0
glanceapp/glance,32384,2024-04-27T18:55:38Z,2025-12-10T09:44:11Z,1.86,86,110,33,Go,213,294,507,0.5799
k3s-io/k3s,32363,2018-05-31T01:37:46Z,2026-03-06T22:50:06Z,7.76,0,4463,957,Go,109,7279,7388,0.9852
KeygraphHQ/shannon,32333,2025-09-27T01:51:47Z,2026-03-06T21:42:49Z,0.44,0,59,0,TypeScript,9,69,78,0.8846
vercel/swr,32328,2019-10-28T18:16:01Z,2026-02-27T16:41:51Z,6.35,7,816,126,TypeScript,142,831,973,0.8541
medusajs/medusa,32249,2020-01-18T13:39:04Z,2026-03-06T00:02:23Z,6.13,0,8409,146,TypeScript,70,3591,3661,0.9809
lizongying/my-tv,32246,2023-12-04T12:18:39Z,2024-06-20T06:21:11Z,2.25,624,11,72,C,144,777,921,0.8436
datalab-to/marker,32220,2023-10-30T20:14:08Z,2026-03-04T20:12:05Z,2.35,2,228,71,Python,327,324,651,0.4977
google/material-design-lite,32216,2015-01-14T22:01:33Z,2025-03-11T00:13:36Z,11.14,360,655,14,HTML,390,1814,2204,0.823
0xAX/linux-insides,32215,2015-01-03T18:44:57Z,2026-03-02T09:55:13Z,11.17,4,619,0,Python,23,168,191,0.8796
labstack/echo,32213,2015-03-01T17:43:01Z,2026-02-23T23:02:14Z,11.01,11,629,116,Go,48,1441,1489,0.9678
yunjey/pytorch-tutorial,32209,2017-03-10T07:41:47Z,2023-08-15T10:17:50Z,8.99,934,28,0,Python,66,114,180,0.6333
Lissy93/web-check,32208,2023-06-25T14:32:11Z,2026-01-31T21:44:58Z,2.7,34,53,1,TypeScript,71,65,136,0.4779
facebookresearch/fairseq,32177,2017-08-29T16:26:12Z,2025-09-30T11:16:06Z,8.52,157,236,16,Python,1200,3060,4260,0.7183
The-Run-Philosophy-Organization/run,32142,2022-04-10T05:42:40Z,2024-07-31T03:44:51Z,3.9,583,172,0,None,45,216,261,0.8276
