repo,stars,created_at,pushed_at,age_years,days_since_last_update,merged_prs,releases,primary_language,issues_open,issues_closed,issues_total,issues_closed_ratio
pear-devs/pear-desktop,30974,2019-04-19T18:14:40Z,2026-03-06T04:55:50Z,6.88,0,1630,87,TypeScript,579,1380,1959,0.7044
symfony/symfony,30967,2010-01-04T14:21:21Z,2026-03-06T17:14:32Z,16.17,0,25592,603,PHP,356,21426,21782,0.9837
eriklindernoren/ML-From-Scratch,30960,2017-02-05T12:11:23Z,2023-10-15T06:05:06Z,9.08,873,9,0,Python,41,37,78,0.4744
OAI/OpenAPI-Specification,30937,2014-03-03T16:53:36Z,2026-03-06T16:50:46Z,12.01,0,1794,14,Markdown,103,2307,2410,0.9573
iawia002/lux,30928,2018-02-24T11:29:03Z,2025-12-29T05:52:01Z,8.03,67,304,86,Go,525,549,1074,0.5112
containers/podman,30922,2017-11-01T15:01:27Z,2026-03-06T15:57:05Z,8.34,0,12216,236,Go,912,9559,10471,0.9129
Lightning-AI/pytorch-lightning,30904,2019-03-31T00:45:57Z,2026-03-06T16:25:14Z,6.93,0,9340,172,Python,835,6662,7497,0.8886
ascoders/weekly,30890,2017-03-20T06:10:04Z,2024-09-09T01:39:37Z,8.96,543,136,193,JavaScript,4,366,370,0.9892
microsoft/calculator,30863,2019-01-28T17:55:49Z,2025-12-24T03:16:48Z,7.1,72,913,0,C++,419,728,1147,0.6347
alibaba/p3c,30832,2017-06-23T06:15:51Z,2024-08-06T08:22:02Z,8.7,577,62,0,Kotlin,161,698,859,0.8126
webtorrent/webtorrent,30818,2013-10-15T08:16:40Z,2026-03-04T17:32:20Z,12.39,2,970,229,JavaScript,68,1607,1675,0.9594
blueimp/jQuery-File-Upload,30808,2010-12-01T15:35:32Z,2023-05-25T09:11:07Z,15.26,1016,119,0,PHP,49,3256,3305,0.9852
seaweedfs/seaweedfs,30782,2014-07-14T16:41:37Z,2026-03-06T23:22:41Z,11.64,0,3674,289,Go,628,2908,3536,0.8224
AMAI-GmbH/AI-Expert-Roadmap,30777,2020-10-24T21:49:40Z,2025-09-12T14:59:30Z,5.36,175,14,0,JavaScript,16,54,70,0.7714
mantinedev/mantine,30749,2021-01-07T14:02:19Z,2026-03-05T17:03:41Z,5.16,1,1591,291,TypeScript,26,3427,3453,0.9925
aristocratos/btop,30738,2021-05-06T18:40:21Z,2026-03-04T10:16:21Z,4.83,2,372,54,C++,424,481,905,0.5315
XIU2/TrackersListCollection,30728,2019-10-03T15:55:07Z,2026-03-06T00:01:36Z,6.42,0,7,0,None,0,0,0,0.0
blakeblackshear/frigate,30675,2019-01-26T13:52:38Z,2026-03-06T21:49:27Z,7.11,0,3730,81,TypeScript,86,5797,5883,0.9854
transloadit/uppy,30662,2015-11-16T12:32:33Z,2026-03-05T18:45:05Z,10.3,1,3275,392,TypeScript,169,2351,2520,0.9329
ityouknow/spring-boot-examples,30646,2016-11-05T05:32:33Z,2023-11-18T16:32:16Z,9.33,839,7,0,Java,10,100,110,0.9091
refined-github/refined-github,30625,2016-02-15T16:45:02Z,2026-03-06T22:29:51Z,10.05,0,3598,186,TypeScript,94,4603,4697,0.98
iperov/DeepFaceLive,30592,2020-12-15T12:19:22Z,2024-11-08T03:07:42Z,5.22,483,13,35,Python,1,143,144,0.9931
s0md3v/roop,30547,2023-05-28T14:37:54Z,2024-08-19T12:57:17Z,2.77,564,82,6,Python,0,0,0,0.0
layui/layui,30539,2015-09-22T08:12:03Z,2026-03-06T09:54:57Z,10.45,0,673,173,JavaScript,54,1399,1453,0.9628
dgtlmoon/changedetection.io,30461,2021-01-27T16:03:30Z,2026-03-06T08:31:19Z,5.1,0,1054,203,Python,290,1327,1617,0.8207
wshobson/agents,30425,2025-07-24T23:28:14Z,2026-02-21T12:47:56Z,0.62,13,53,0,Python,6,53,59,0.8983
VSCodium/vscodium,30381,2018-08-13T14:26:58Z,2026-03-06T11:59:01Z,7.56,0,628,264,Shell,135,1504,1639,0.9176
VincentGarreau/particles.js,30352,2014-09-06T14:29:47Z,2024-03-28T03:21:07Z,11.5,708,21,6,JavaScript,306,107,413,0.2591
sequelize/sequelize,30350,2010-07-22T07:11:11Z,2026-03-05T22:55:00Z,15.62,1,5021,489,TypeScript,903,9520,10423,0.9134
chinabugotech/hutool,30339,2014-04-13T07:23:51Z,2026-03-05T01:06:44Z,11.9,1,514,156,Java,2,3090,3092,0.9994
trailofbits/algo,30325,2016-05-15T03:42:48Z,2026-03-04T14:02:05Z,9.81,2,686,4,Python,65,1585,1650,0.9606
ValveSoftware/Proton,30325,2018-03-13T18:45:27Z,2026-03-06T13:53:49Z,7.98,0,13,76,C++,4971,4056,9027,0.4493
pmndrs/react-three-fiber,30323,2019-02-25T14:31:51Z,2026-03-04T15:10:17Z,7.03,2,690,131,TypeScript,6,1166,1172,0.9949
herrbischoff/awesome-macos-command-line,30318,2015-09-22T19:37:55Z,2026-03-04T11:01:49Z,10.45,2,104,0,None,0,0,0,0.0
Binaryify/NeteaseCloudMusicApi,30291,2016-06-22T11:58:03Z,2024-02-28T02:47:42Z,9.7,737,292,0,None,147,1189,1336,0.89
facebook/folly,30276,2012-06-01T20:49:04Z,2026-03-06T23:46:40Z,13.76,-1,13,280,C++,306,943,1249,0.755
tatsu-lab/stanford_alpaca,30267,2023-03-10T23:33:09Z,2024-07-17T09:43:05Z,2.99,597,6,0,Python,170,98,268,0.3657
jobbole/awesome-python-cn,30257,2015-11-03T09:50:50Z,2022-08-29T11:28:59Z,10.34,1285,51,0,Makefile,16,18,34,0.5294
joshbuchea/HEAD,30238,2016-04-20T20:05:37Z,2026-02-13T18:10:42Z,9.88,21,87,0,None,20,73,93,0.7849
cfenollosa/os-tutorial,30221,2014-09-29T08:39:34Z,2026-02-04T09:33:56Z,11.43,30,11,0,C,76,106,182,0.5824
waydabber/BetterDisplay,30206,2021-10-24T08:32:56Z,2026-03-06T17:48:15Z,4.36,0,2,119,None,173,2817,2990,0.9421
AvaloniaUI/Avalonia,30197,2013-12-05T20:13:21Z,2026-03-06T13:08:18Z,12.25,0,5654,120,C#,1835,6485,8320,0.7794
openai/openai-python,30168,2020-10-25T23:23:54Z,2026-03-05T23:16:58Z,5.36,1,1053,369,Python,163,1042,1205,0.8647
songquanpeng/one-api,30163,2023-04-22T12:39:24Z,2026-01-09T03:26:43Z,2.87,56,287,55,JavaScript,901,897,1798,0.4989
spf13/viper,30162,2014-04-02T14:33:33Z,2026-01-12T21:42:47Z,11.93,53,520,35,Go,8,923,931,0.9914
cheeriojs/cheerio,30147,2011-10-09T04:23:20Z,2026-03-06T03:14:50Z,14.41,0,3122,62,TypeScript,21,1210,1231,0.9829
dragonflydb/dragonfly,30115,2021-12-11T10:00:42Z,2026-03-06T21:13:07Z,4.23,0,3996,114,C++,265,1856,2121,0.8751
telegramdesktop/tdesktop,30096,2014-05-02T12:36:31Z,2026-03-06T19:16:40Z,11.84,0,1857,830,C++,898,14884,15782,0.9431
grafana/k6,30057,2016-03-21T15:30:24Z,2026-03-06T19:08:16Z,9.96,0,2457,85,Go,730,1835,2565,0.7154
jumpserver/jumpserver,30046,2014-07-04T03:54:59Z,2026-03-06T10:46:36Z,11.67,0,7872,264,Python,67,7580,7647,0.9912
sunface/rust-course,30031,2018-08-07T05:01:21Z,2026-01-29T07:32:22Z,7.58,36,811,0,Rust,65,154,219,0.7032
xuxueli/xxl-job,29962,2015-11-28T12:59:34Z,2026-02-11T08:37:06Z,10.27,23,124,42,Java,143,3197,3340,0.9572
StevenBlack/hosts,29962,2012-04-12T20:22:50Z,2026-03-01T13:18:15Z,13.9,5,507,832,Python,131,2073,2204,0.9406
vercel/turborepo,29952,2021-10-05T17:37:11Z,2026-03-06T22:48:09Z,4.42,0,7179,683,Rust,108,1944,2052,0.9474
kingToolbox/WindTerm,29931,2019-10-09T19:56:09Z,2025-03-11T19:12:09Z,6.41,360,1,32,C,2330,586,2916,0.201
encode/django-rest-framework,29926,2011-03-02T17:13:56Z,2026-03-04T15:27:11Z,15.01,2,3108,21,Python,39,3907,3946,0.9901
square/leakcanary,29907,2015-04-29T23:54:16Z,2026-03-06T14:07:04Z,10.85,0,933,43,Kotlin,141,1514,1655,0.9148
AllThingsSmitty/css-protips,29904,2015-08-29T12:29:03Z,2025-03-20T14:10:02Z,10.52,351,73,0,None,1,62,63,0.9841
ageron/handson-ml2,29900,2019-01-08T03:49:07Z,2026-02-23T03:05:33Z,7.16,11,65,0,Jupyter Notebook,214,304,518,0.5869
google-research/tuning_playbook,29897,2023-01-18T23:32:32Z,2024-06-18T00:25:53Z,3.13,626,14,0,None,11,34,45,0.7556
GoogleChrome/lighthouse,29884,2016-03-08T01:03:11Z,2026-03-06T21:21:10Z,9.99,0,5564,130,JavaScript,487,8771,9258,0.9474
apolloconfig/apollo,29782,2016-03-04T10:24:23Z,2026-02-25T12:26:11Z,10.0,9,1498,42,Java,141,3258,3399,0.9585
hashicorp/consul,29777,2013-11-04T22:15:27Z,2026-03-06T15:33:36Z,12.33,0,14140,256,Go,1294,4285,5579,0.7681
foundation/foundation-sites,29764,2011-10-13T23:05:42Z,2025-01-21T22:11:53Z,14.4,409,2958,79,HTML,61,8179,8240,0.9926
iced-rs/iced,29731,2019-07-15T22:34:46Z,2026-03-04T22:52:19Z,6.64,2,1161,18,Rust,344,964,1308,0.737
zellij-org/zellij,29709,2020-09-01T14:04:28Z,2026-03-06T19:40:40Z,5.51,0,1388,65,Rust,1333,1196,2529,0.4729
nvim-lua/kickstart.nvim,29701,2022-06-24T03:11:24Z,2026-02-28T11:48:59Z,3.7,6,265,0,Lua,32,634,666,0.952
openssl/openssl,29688,2013-01-15T22:34:48Z,2026-03-06T21:36:14Z,13.14,0,145,297,C,1204,9971,11175,0.8923
JushBJJ/Mr.-Ranedeer-AI-Tutor,29687,2023-03-31T12:37:26Z,2025-09-30T08:08:00Z,2.93,157,0,3,None,15,34,49,0.6939
qarmin/czkawka,29686,2020-09-01T17:37:29Z,2026-03-06T06:21:06Z,5.51,0,468,40,Rust,423,694,1117,0.6213
filamentphp/filament,29648,2020-03-19T00:19:18Z,2026-03-06T17:10:09Z,5.96,0,5799,823,PHP,20,3301,3321,0.994
vuejs/vue-cli,29637,2015-12-26T23:11:20Z,2025-08-21T10:56:30Z,10.19,197,1259,178,JavaScript,937,4564,5501,0.8297
sampotts/plyr,29629,2015-02-14T11:33:07Z,2026-01-03T16:10:02Z,11.06,62,393,93,JavaScript,891,1225,2116,0.5789
alibaba/canal,29619,2013-01-13T10:59:52Z,2026-02-12T09:43:09Z,13.14,22,479,32,Java,1173,3615,4788,0.755
nginx/nginx,29617,2015-06-23T10:26:27Z,2026-03-04T08:08:09Z,10.7,2,156,14,C,226,250,476,0.5252
HKUDS/nanobot,29615,2026-02-01T07:16:15Z,2026-03-06T16:19:22Z,0.09,0,216,8,Python,392,113,505,0.2238
VoltAgent/awesome-openclaw-skills,29612,2026-01-25T09:22:32Z,2026-03-06T17:35:34Z,0.11,0,63,0,None,0,33,33,1.0
